source_crop,crop_type,lat,lon,year,season,survey_date,is_duplicate,satellite_status,valid_cropfusion_sample,rejection_reasons,primary_reason
Pepper (Black),pepper,12.5430491,75.4688857,2020,Kharif,2020-09-18,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183512,75.4539364,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183667,75.4539526,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183507,75.4539535,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183264,75.4539709,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183515,75.4539297,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6183348,75.4539251,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6176155,75.4584133,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6175942,75.458429,2020,Kharif,2020-10-23,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.633425,75.438225,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6317957,75.4357805,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6318059,75.4358319,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.632196,75.4358927,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6321986,75.4359236,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5424859,75.469504,2020,Kharif,2020-09-18,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5197388,75.4707842,2020,Kharif,2020-09-22,False,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite",spatial_NO_MATCH
Coconut,coconut,12.5196523,75.4707025,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5196582,75.4707005,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5196582,75.4707005,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5196582,75.4707005,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5199679,75.4704805,2020,Kharif,2020-10-19,False,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite",spatial_NO_MATCH
