pepper_field_id,pepper_lat,pepper_lon,nearest_coconut_field_id,nearest_coconut_lat,nearest_coconut_lon,distance_m,distance_band
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826006,12.5959069,75.2550146,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826007,12.5959063,75.2550117,0.32169853938488074,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826007,12.5959151,75.2550163,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826007,12.5959063,75.2550117,1.0984894579912634,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826009,12.5958089,75.2549224,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826010,12.5958225,75.2549331,1.9066132836926342,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826010,12.5957871,75.2549607,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826011,12.5958047,75.2549418,2.834887981867656,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478424,12.6923685,75.1965593,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478424,12.6923564,75.1965679,1.6372469037721058,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478425,12.6930477,75.1966207,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478425,12.6930642,75.196639,2.703137880116316,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478426,12.6942204,75.1986816,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478426,12.6942405,75.1986467,4.3963545090868985,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478428,12.6946735,75.199136,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478429,12.6946487,75.1990999,4.789539788837547,0-5
Puttur|PUTTURU|NIDPALLI|SURVEYID=444681874,12.6564791,75.2037401,Puttur|PUTTURU|NIDPALLI|SURVEYID=444681858,12.656483,75.2037232,1.8841182145709001,0-5
Puttur|PUTTURU|NIDPALLI|SURVEYID=444681894,12.6583365,75.2042263,Puttur|PUTTURU|NIDPALLI|SURVEYID=444681894,12.6583497,75.2043741,16.1021885467124,10-25
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241573,12.6852921,75.2205292,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241680,12.6852919,75.2205244,0.5211823538187411,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241577,12.6852901,75.2206174,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445365550,12.6852829,75.2206121,0.985662817347276,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241580,12.6852707,75.2206491,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445330596,12.6852589,75.2206624,1.9501954224698423,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826011,12.5958207,75.2549403,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826010,12.5958225,75.2549331,0.806563624384106,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826013,12.5977212,75.2514089,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826013,12.5977212,75.2514089,0.0,0-5
Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826014,12.5977374,75.2514057,Puttur|PUTTURU|NETTANIGE MUDNURU|SURVEYID=444826016,12.5977486,75.2513991,1.4366447515639094,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478429,12.6946487,75.1990999,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478429,12.6946487,75.1990999,0.0,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478430,12.6945628,75.1991292,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478430,12.6945909,75.1991635,4.858703290545939,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478431,12.6945406,75.1992307,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478431,12.6945405,75.1992307,0.011119492602323922,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478432,12.6945206,75.1991516,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478432,12.6945319,75.1991724,2.582589763054076,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478433,12.6945647,75.1988567,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478437,12.694563,75.1988615,0.5539400479177218,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241584,12.6852341,75.2206554,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445296242,12.6852316,75.2206593,0.5062306474065909,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241589,12.6852032,75.2207109,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445296264,12.685206,75.2207145,0.49945027279665966,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241592,12.6851922,75.220676,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445340344,12.6851914,75.2206816,0.6139709421268573,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241595,12.6851312,75.2207264,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241616,12.685132,75.2207286,0.254697310190962,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=444984178,12.6958476,75.2194193,Puttur|PUTTURU|OLAMOGRU|SURVEYID=444984178,12.6958682,75.2194412,3.3000814476012374,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40234205,12.6201305,75.24011,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40234205,12.6201298,75.2401091,0.12488203676949546,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40234501,12.6201532,75.2401694,Puttur|PUTTURU|PADUVANNURU|SURVEYID=445368168,12.6201529,75.2401696,0.03979637533533886,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40234845,12.6201643,75.2401826,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40234845,12.6201651,75.240183,0.09897986096693373,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40236029,12.6274221,75.2179264,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40236337,12.6274502,75.2179807,6.669091270286974,5-10
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478434,12.6945858,75.1988661,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478434,12.6946053,75.1988646,2.174397793147828,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478436,12.6946128,75.1988607,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478436,12.6946128,75.1988607,0.0,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478437,12.6945741,75.1988359,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478437,12.694563,75.1988615,3.0389423956853436,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478438,12.6945333,75.1988429,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478438,12.6945333,75.1988429,0.0,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241598,12.6851247,75.2207321,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241611,12.6851257,75.2207366,0.5006677186409704,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241601,12.6851288,75.2207418,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381806,12.6851285,75.2207438,0.21951116756983816,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241603,12.68516,75.2207626,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241619,12.6851643,75.2207628,0.47863017796678947,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241609,12.6851461,75.2207439,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445340333,12.6851465,75.2207421,0.20026707326596946,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40237900,12.627328,75.217941,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40237620,12.627307,75.2178793,7.090331164518038,5-10
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241611,12.6850755,75.2207159,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241613,12.6850963,75.2207313,2.8531065994730893,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241613,12.685148,75.2207715,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445340339,12.6851459,75.2207709,0.24241106996654296,0-5
