source_crop,crop_type,crop_status,hobli,taluk,village,lat,lon,year,season,survey_date,distance_km,spatial_status,temporal_status,tabular_matched,tabular_level,satellite_status,ndvi_available,evi_available,is_duplicate,valid_cropfusion_sample,rejection_reasons
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9610772,75.1119743,2020,Kharif,2020-09-22,0.0855,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9609362,75.1116057,2020,Kharif,2020-09-22,0.0429,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9756417,75.1255171,2020,Kharif,2020-09-18,0.2532,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,ARALA,12.9426358,75.0238822,2020,Kharif,2020-10-08,0.1034,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.8948425,75.0198138,2020,Kharif,2020-09-28,0.0346,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,ARALA,12.9443283,75.0086836,2020,Kharif,2020-10-09,0.0609,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,ARALA,12.9443151,75.0087012,2020,Kharif,2020-10-09,0.0632,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.967565,75.1164504,2020,Kharif,2020-09-23,0.2079,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9675788,75.1164676,2020,Kharif,2020-09-23,0.207,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.9260013,75.0330791,2020,Kharif,2020-08-30,0.0081,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,ARALA,12.9429005,75.0111992,2020,Kharif,2020-10-10,0.245,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AMTADI,12.9224684,75.0302592,2020,Kharif,2020-09-28,0.0436,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9825774,75.117375,2020,Kharif,2020-09-24,0.0955,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9133332,75.200273,2020,Kharif,2020-10-01,0.1911,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9132975,75.2002972,2020,Kharif,2020-10-01,0.1947,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9812668,75.1185218,2020,Kharif,2020-09-24,0.1543,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9816047,75.1163948,2020,Kharif,2020-09-25,0.0936,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9816132,75.1164249,2020,Kharif,2020-09-25,0.0954,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.8948124,75.0170718,2020,Kharif,2020-09-29,0.0661,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AMTADI,12.8945744,75.0170064,2020,Kharif,2020-09-29,0.0626,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9297235,75.1896142,2020,Kharif,2020-10-02,0.0416,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.9275527,75.0353122,2020,Kharif,2020-09-30,0.2592,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AMTADI,12.8985735,75.0168613,2020,Kharif,2020-09-30,0.0706,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.9021838,75.0340256,2020,Kharif,2020-08-31,0.0198,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9191903,75.1948534,2020,Kharif,2020-10-03,0.0834,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,ARALA,12.9389063,75.0358135,2020,Kharif,2020-10-11,0.146,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9186725,75.1852111,2020,Kharif,2020-10-17,0.3146,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9664767,75.1131067,2020,Kharif,2020-09-26,0.2109,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9663895,75.113066,2020,Kharif,2020-09-26,0.2056,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
